threshold,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,false_alarm_rate,precision,negative_predictive_value,alert_rate,balanced_accuracy,youden_j
0.30756378173828125,115,556,0,97,1.0,0.14854517611026033,0.8514548238897397,0.17138599105812222,1.0,0.8736979166666666,0.5742725880551302,0.1485451761102603
0.30938977003097534,115,555,0,98,1.0,0.15007656967840735,0.8499234303215927,0.17164179104477612,1.0,0.8723958333333334,0.5750382848392037,0.15007656967840743
0.30990952253341675,115,554,0,99,1.0,0.15160796324655437,0.8483920367534457,0.17189835575485798,1.0,0.87109375,0.5758039816232772,0.15160796324655434
0.31206029653549194,115,553,0,100,1.0,0.15313935681470137,0.8468606431852986,0.1721556886227545,1.0,0.8697916666666666,0.5765696784073506,0.15313935681470126
0.3128044605255127,115,552,0,101,1.0,0.1546707503828484,0.8453292496171516,0.1724137931034483,1.0,0.8684895833333334,0.5773353751914242,0.1546707503828484
0.31283634901046753,115,551,0,102,1.0,0.1562021439509954,0.8437978560490046,0.17267267267267267,1.0,0.8671875,0.5781010719754978,0.15620214395099552
0.31333479285240173,115,550,0,103,1.0,0.15773353751914243,0.8422664624808576,0.17293233082706766,1.0,0.8658854166666666,0.5788667687595712,0.15773353751914243
0.3137790560722351,115,549,0,104,1.0,0.15926493108728942,0.8407350689127105,0.17319277108433734,1.0,0.8645833333333334,0.5796324655436447,0.15926493108728934
0.31424400210380554,115,548,0,105,1.0,0.16079632465543645,0.8392036753445635,0.17345399698340874,1.0,0.86328125,0.5803981623277182,0.16079632465543647
0.3146201968193054,115,547,0,106,1.0,0.16232771822358347,0.8376722817764165,0.17371601208459214,1.0,0.8619791666666666,0.5811638591117917,0.16232771822358338
0.316547691822052,115,546,0,107,1.0,0.1638591117917305,0.8361408882082695,0.17397881996974282,1.0,0.8606770833333334,0.5819295558958653,0.16385911179173052
0.31710106134414673,115,545,0,108,1.0,0.16539050535987748,0.8346094946401225,0.17424242424242425,1.0,0.859375,0.5826952526799387,0.16539050535987743
0.317108690738678,115,544,0,109,1.0,0.1669218989280245,0.8330781010719756,0.17450682852807284,1.0,0.8580729166666666,0.5834609494640123,0.16692189892802456
0.3181169033050537,115,543,0,110,1.0,0.16845329249617153,0.8315467075038285,0.17477203647416414,1.0,0.8567708333333334,0.5842266462480857,0.16845329249617147
0.3183310925960541,115,542,0,111,1.0,0.16998468606431852,0.8300153139356815,0.1750380517503805,1.0,0.85546875,0.5849923430321593,0.1699846860643186
0.3183901906013489,115,541,0,112,1.0,0.17151607963246554,0.8284839203675345,0.17530487804878048,1.0,0.8541666666666666,0.5857580398162328,0.1715160796324655
0.3195749521255493,115,540,0,113,1.0,0.17304747320061256,0.8269525267993875,0.17557251908396945,1.0,0.8528645833333334,0.5865237366003063,0.17304747320061264
0.3201153874397278,115,539,0,114,1.0,0.17457886676875958,0.8254211332312404,0.17584097859327216,1.0,0.8515625,0.5872894333843798,0.17457886676875956
0.320331871509552,115,538,0,115,1.0,0.17611026033690658,0.8238897396630934,0.17611026033690658,1.0,0.8502604166666666,0.5880551301684533,0.1761102603369067
0.32092908024787903,115,537,0,116,1.0,0.1776416539050536,0.8223583460949464,0.17638036809815952,1.0,0.8489583333333334,0.5888208269525268,0.1776416539050536
0.32127565145492554,115,536,0,117,1.0,0.17917304747320062,0.8208269525267994,0.17665130568356374,1.0,0.84765625,0.5895865237366003,0.1791730474732005
0.32131803035736084,115,535,0,118,1.0,0.1807044410413476,0.8192955589586524,0.17692307692307693,1.0,0.8463541666666666,0.5903522205206738,0.18070444104134764
